"","mean","sd","median","skew","kurtosis"
"Test.takers..2012",156.736842105263,110.094928786354,132,0.97603927603245,0.583344833274707
"Test.takers..2013",159.601063829787,107.761051762393,135.5,1.10577510666398,1.25109422338635
"Test.takers..Change.",5.82446808510638,25.3059574739383,1,2.94216241616413,13.6874475954173
"Participation.Rate..estimate...2012",75.0684210526316,16.3581137782638,77,-0.780723983410916,0.450232845037124
"Participation.Rate..estimate...2013",75.5684210526316,18.2462013914843,78,-0.61451304928329,-0.103644811661606
"Participation.Rate..estimate...Change.",0.455026455026455,9.02975805054732,0,-0.16812471209216,1.99977373414724
"Percent.Meeting.Benchmark..2012",36.4578947368421,21.6512965211569,37.5,0.0124357158964542,-0.899295188115379
"Percent.Meeting.Benchmark..2013",37.1,22.2245752722464,39,0.00692564022970482,-0.937407136939425
"Percent.Meeting.Benchmark..Change.",0.523809523809524,5.88775453763493,1,-0.250869145829447,0.789415200857209
